try_id,sigma,g_n,i,delta,kappa_min,kappa_max,kappa_star,r_star,d_star,omega_star,backbone_ok,reason
67,2.25,0.060000000000000005,0.030000000000000002,0.05,0.02,0.25,0.24750000000000003,0.25036198355056183,-5.263574383146067,0.594592768505618,FALSE,d_star_negative|omega_outside_target_band
68,2.25,0.060000000000000005,0.030000000000000002,0.05,0.02,0.35,0.24750000000000003,0.12657624799375145,-0.6216092997656782,0.7338517210070296,FALSE,d_star_negative|omega_outside_target_band
69,2.25,0.060000000000000005,0.030000000000000002,0.05,0.02,0.45,0.24750000000000003,0.10388034506148039,0.22948706019448592,0.7593846118058346,FALSE,omega_outside_target_band
70,2.25,0.060000000000000005,0.030000000000000002,0.06,0.02,0.25,0.27,NA,NA,NA,FALSE,kappa_star_out_of_bounds
71,2.25,0.060000000000000005,0.030000000000000002,0.06,0.02,0.35,0.27,0.13798114277294551,-0.6742928539854568,0.7097712143804363,FALSE,d_star_negative|omega_outside_target_band
72,2.25,0.060000000000000005,0.030000000000000002,0.06,0.02,0.45,0.27,0.11095013556573455,0.33936991628495483,0.7401810974885485,FALSE,omega_outside_target_band
73,2.25,0.060000000000000005,0.035,0.03,0.02,0.25,0.20249999999999999,0.1448673487327317,-2.0575255774774384,0.746061860563064,FALSE,d_star_negative|omega_outside_target_band
74,2.25,0.060000000000000005,0.035,0.03,0.02,0.35,0.20249999999999999,0.10709739990808907,-0.6411524965533405,0.7814711875861665,FALSE,d_star_negative|omega_outside_target_band
75,2.25,0.060000000000000005,0.035,0.03,0.02,0.45,0.20249999999999999,0.08984465303379338,0.005825511232747845,0.7976456377808188,FALSE,omega_outside_target_band
76,2.25,0.060000000000000005,0.035,0.04,0.02,0.25,0.225,0.17013780514234028,-2.6301676928377606,0.709245807679056,FALSE,d_star_negative|omega_outside_target_band
77,2.25,0.060000000000000005,0.035,0.04,0.02,0.35,0.225,0.11648987472787026,-0.6183703022951342,0.7595407424426216,FALSE,d_star_negative|omega_outside_target_band
78,2.25,0.060000000000000005,0.035,0.04,0.02,0.45,0.225,0.09689698589779962,0.1163630288325145,0.7779090757208129,FALSE,omega_outside_target_band
79,2.25,0.060000000000000005,0.035,0.05,0.02,0.25,0.24750000000000003,0.25036198355056183,-5.263574383146067,0.6209106404213482,FALSE,d_star_negative
80,2.25,0.060000000000000005,0.035,0.05,0.02,0.35,0.24750000000000003,0.12657624799375145,-0.6216092997656782,0.736959767505858,FALSE,d_star_negative|omega_outside_target_band
81,2.25,0.060000000000000005,0.035,0.05,0.02,0.45,0.24750000000000003,0.10388034506148039,0.22948706019448592,0.7582371765048621,FALSE,omega_outside_target_band
82,2.25,0.060000000000000005,0.035,0.06,0.02,0.25,0.27,NA,NA,NA,FALSE,kappa_star_out_of_bounds
83,2.25,0.060000000000000005,0.035,0.06,0.02,0.35,0.27,0.13798114277294551,-0.6742928539854568,0.7131426786503635,FALSE,d_star_negative|omega_outside_target_band
84,2.25,0.060000000000000005,0.035,0.06,0.02,0.45,0.27,0.11095013556573455,0.33936991628495483,0.7384842479071239,FALSE,omega_outside_target_band
85,2.25,0.060000000000000005,0.04,0.03,0.02,0.25,0.20249999999999999,0.1448673487327317,-2.0575255774774384,0.7563494884504511,FALSE,d_star_negative|omega_outside_target_band
86,2.25,0.060000000000000005,0.04,0.03,0.02,0.35,0.20249999999999999,0.10709739990808907,-0.6411524965533405,0.7846769500689333,FALSE,d_star_negative|omega_outside_target_band
87,2.25,0.060000000000000005,0.04,0.03,0.02,0.45,0.20249999999999999,0.08984465303379338,0.005825511232747845,0.797616510224655,FALSE,omega_outside_target_band
88,2.25,0.060000000000000005,0.04,0.04,0.02,0.25,0.225,0.17013780514234028,-2.6301676928377606,0.7223966461432447,FALSE,d_star_negative|omega_outside_target_band
89,2.25,0.060000000000000005,0.04,0.04,0.02,0.35,0.225,0.11648987472787026,-0.6183703022951342,0.7626325939540973,FALSE,d_star_negative|omega_outside_target_band
90,2.25,0.060000000000000005,0.04,0.04,0.02,0.45,0.225,0.09689698589779962,0.1163630288325145,0.7773272605766504,FALSE,omega_outside_target_band
91,2.25,0.060000000000000005,0.04,0.05,0.02,0.25,0.24750000000000003,0.25036198355056183,-5.263574383146067,0.6472285123370787,FALSE,d_star_negative
92,2.25,0.060000000000000005,0.04,0.05,0.02,0.35,0.24750000000000003,0.12657624799375145,-0.6216092997656782,0.7400678140046865,FALSE,d_star_negative|omega_outside_target_band
93,2.25,0.060000000000000005,0.04,0.05,0.02,0.45,0.24750000000000003,0.10388034506148039,0.22948706019448592,0.7570897412038897,FALSE,omega_outside_target_band
94,2.25,0.060000000000000005,0.04,0.06,0.02,0.25,0.27,NA,NA,NA,FALSE,kappa_star_out_of_bounds
95,2.25,0.060000000000000005,0.04,0.06,0.02,0.35,0.27,0.13798114277294551,-0.6742928539854568,0.7165141429202909,FALSE,d_star_negative|omega_outside_target_band
96,2.25,0.060000000000000005,0.04,0.06,0.02,0.45,0.27,0.11095013556573455,0.33936991628495483,0.7367873983256992,FALSE,omega_outside_target_band
97,2.25,0.07,0.025,0.03,0.02,0.25,0.225,0.17013780514234028,-2.2544294510037948,0.6735506747048292,FALSE,d_star_negative
98,2.25,0.07,0.025,0.03,0.02,0.35,0.225,0.11648987472787026,-0.5300316876815436,0.7511485740543306,FALSE,d_star_negative|omega_outside_target_band
99,2.25,0.07,0.025,0.03,0.02,0.45,0.225,0.09689698589779962,0.09973973899929814,0.7794882882549685,FALSE,omega_outside_target_band
100,2.25,0.07,0.025,0.04,0.02,0.25,0.24750000000000003,0.25036198355056183,-4.5116351855537715,0.5494764166500803,FALSE,d_star_negative|omega_outside_target_band
101,2.25,0.07,0.025,0.04,0.02,0.35,0.24750000000000003,0.12657624799375145,-0.5328079712277242,0.7285236412947523,FALSE,d_star_negative|omega_outside_target_band
102,2.25,0.07,0.025,0.04,0.02,0.45,0.24750000000000003,0.10388034506148039,0.19670319445241652,0.7613516437503588,FALSE,omega_outside_target_band
103,2.25,0.07,0.025,0.05,0.02,0.25,0.27,NA,NA,NA,FALSE,kappa_star_out_of_bounds
104,2.25,0.07,0.025,0.05,0.02,0.35,0.27,0.13798114277294551,-0.5779653034161059,0.7039915613462752,FALSE,d_star_negative|omega_outside_target_band
105,2.25,0.07,0.025,0.05,0.02,0.45,0.27,0.11095013556573455,0.29088849967281843,0.7430899824852768,FALSE,omega_outside_target_band
106,2.25,0.07,0.025,0.06,0.02,0.25,0.2925,NA,NA,NA,FALSE,kappa_star_out_of_bounds
107,2.25,0.07,0.025,0.06,0.02,0.35,0.2925,0.1518617888766665,-0.7027003567499943,0.6758784839462504,FALSE,d_star_negative
108,2.25,0.07,0.025,0.06,0.02,0.45,0.2925,0.1182737718612537,0.3769144758882736,0.7244611514149724,FALSE,omega_outside_target_band
109,2.25,0.07,0.030000000000000002,0.03,0.02,0.25,0.225,0.17013780514234028,-2.2544294510037948,0.6848228219598482,FALSE,d_star_negative
110,2.25,0.07,0.030000000000000002,0.03,0.02,0.35,0.225,0.11648987472787026,-0.5300316876815436,0.7537987324927383,FALSE,d_star_negative|omega_outside_target_band
111,2.25,0.07,0.030000000000000002,0.03,0.02,0.45,0.225,0.09689698589779962,0.09973973899929814,0.7789895895599719,FALSE,omega_outside_target_band
112,2.25,0.07,0.030000000000000002,0.04,0.02,0.25,0.24750000000000003,0.25036198355056183,-4.5116351855537715,0.5720345925778492,FALSE,d_star_negative|omega_outside_target_band
113,2.25,0.07,0.030000000000000002,0.04,0.02,0.35,0.24750000000000003,0.12657624799375145,-0.5328079712277242,0.731187681150891,FALSE,d_star_negative|omega_outside_target_band
114,2.25,0.07,0.030000000000000002,0.04,0.02,0.45,0.24750000000000003,0.10388034506148039,0.19670319445241652,0.7603681277780967,FALSE,omega_outside_target_band
115,2.25,0.07,0.030000000000000002,0.05,0.02,0.25,0.27,NA,NA,NA,FALSE,kappa_star_out_of_bounds
116,2.25,0.07,0.030000000000000002,0.05,0.02,0.35,0.27,0.13798114277294551,-0.5779653034161059,0.7068813878633559,FALSE,d_star_negative|omega_outside_target_band
117,2.25,0.07,0.030000000000000002,0.05,0.02,0.45,0.27,0.11095013556573455,0.29088849967281843,0.7416355399869128,FALSE,omega_outside_target_band
118,2.25,0.07,0.030000000000000002,0.06,0.02,0.25,0.2925,NA,NA,NA,FALSE,kappa_star_out_of_bounds
119,2.25,0.07,0.030000000000000002,0.06,0.02,0.35,0.2925,0.1518617888766665,-0.7027003567499943,0.6793919857300004,FALSE,d_star_negative
