phi1,lambda,ok,reason,a1,a2,a3,H,feasible_RH,hopf_band
0.03,94.71223021582733,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,95.75539568345323,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,96.79856115107913,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,97.84172661870504,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,98.88489208633094,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,99.92805755395683,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,100.97122302158273,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,102.01438848920863,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,103.05755395683452,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,104.10071942446042,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,105.14388489208633,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,106.18705035971223,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,107.23021582733813,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,108.27338129496403,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,109.31654676258992,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,110.35971223021582,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,111.40287769784172,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,112.44604316546761,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,113.48920863309353,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,114.53237410071942,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,115.57553956834532,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,116.61870503597122,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,117.66187050359711,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,118.70503597122301,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,119.74820143884891,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,120.79136690647482,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,121.83453237410072,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,122.87769784172662,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,123.92086330935251,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,124.96402877697841,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,126.0071942446043,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,127.0503597122302,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,128.0935251798561,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,129.136690647482,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,130.1798561151079,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,131.2230215827338,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,132.2661870503597,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,133.30935251798562,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,134.3525179856115,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,135.3956834532374,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,136.4388489208633,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,137.4820143884892,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,138.5251798561151,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,139.568345323741,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,140.6115107913669,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,141.6546762589928,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,142.6978417266187,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,143.7410071942446,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,144.78417266187049,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,145.82733812949638,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,146.8705035971223,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,147.9136690647482,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,148.9568345323741,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,150,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,5,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,6.043165467625899,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,7.086330935251798,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,8.129496402877699,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,9.172661870503596,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,10.215827338129497,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,11.258992805755396,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,12.302158273381295,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,13.345323741007194,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,14.388489208633093,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,15.431654676258992,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,16.47482014388489,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,17.51798561151079,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,18.561151079136692,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,19.60431654676259,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,20.647482014388487,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,21.690647482014388,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,22.73381294964029,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,23.776978417266186,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,24.820143884892087,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,25.863309352517984,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,26.906474820143885,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,27.949640287769782,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,28.992805755395683,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,30.035971223021583,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,31.07913669064748,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,32.122302158273385,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,33.16546762589928,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,34.20863309352518,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,35.25179856115108,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,36.294964028776974,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,37.33812949640288,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,38.381294964028775,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,39.42446043165467,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,40.46762589928058,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,41.510791366906474,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,42.55395683453237,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,43.59712230215827,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,44.64028776978417,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,45.68345323741007,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,46.72661870503597,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,47.76978417266187,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,48.81294964028777,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,49.856115107913666,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,50.899280575539564,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,51.94244604316547,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,52.985611510791365,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,54.02877697841726,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,55.07194244604317,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,56.115107913669064,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,57.15827338129496,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,58.20143884892086,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,59.24460431654676,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,60.28776978417266,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,61.33093525179856,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
