time,e,omega,d,p,xi,gY,pi,i_rate,lambda_t,r0_t,debt_stress
739.35,0.643050800546849,0.736245744389182,-2,1.18866856440077,1,0.005,0.263754255610818,-0.0396506286841649,58.8,0.0749343198708856,0
739.4,0.64272935551453,0.736403649457802,-2,1.18813996866483,1,0.005,0.263596350542198,-0.0396822799124127,58.8,0.0749343666805682,0
739.45,0.642408071164554,0.736560404869385,-2,1.187613831412,1,0.005,0.263439595130615,-0.0397137011593057,58.8,0.0749344134569525,0
739.5,0.642086947416599,0.736716010467135,-2,1.18709015403832,1,0.005,0.263283989532865,-0.0397448923935205,58.8,0.0749344602000623,0
739.55,0.641765984190384,0.736870466099848,-2,1.18656893793198,1,0.005,0.263129533900152,-0.039775853584851,58.8,0.0749345069099209,0
739.6,0.641445181405669,0.7370237716219,-2,1.18605018447333,1,0.005,0.2629762283781,-0.039806584704208,58.8,0.0749345535865521,0
739.65,0.641124538982251,0.737175926893249,-2,1.18553389503491,1,0.005,0.262824073106751,-0.0398370857236186,58.8,0.0749346002299793,0
739.7,0.640804056839973,0.73732693177943,-2,1.18502007098143,1,0.005,0.26267306822057,-0.0398673566162251,58.8,0.074934646840226,0
739.75,0.640483734898712,0.737476786151553,-2,1.18450871366981,1,0.005,0.262523213848447,-0.0398973973562845,58.8,0.0749346934173159,0
739.8,0.640163573078387,0.737625489886296,-2,1.1839998244492,1,0.005,0.262374510113704,-0.0399272079191679,58.8,0.0749347399612724,0
739.85,0.63984357129896,0.737773042865904,-2,1.18349340466096,1,0.005,0.262226957134096,-0.0399567882813592,58.8,0.074934786472119,0
739.9,0.639523729480428,0.737919444978184,-2,1.18298945563869,1,0.005,0.262080555021816,-0.0399861384204554,58.8,0.0749348329498791,0
739.95,0.639204047542832,0.738064696116502,-2,1.18248797870824,1,0.005,0.261935303883498,-0.0400152583151646,58.8,0.0749348793945762,0
740,0.638884525406252,0.738208796179778,-2,1.18198897518774,1,0.005,0.261791203820222,-0.0400441479453062,58.8,0.0749349258062337,0
740.05,0.638565162990806,0.738351745072485,-2,1.18149244638756,1,0.005,0.261648254927515,-0.0400728072918096,58.8,0.074934972184875,0
740.1,0.638245960216654,0.738493542704641,-2,1.18099839361038,1,0.005,0.261506457295359,-0.0401012363367136,58.8,0.0749350185305236,0
740.15,0.637926917003995,0.738634188991808,-2,1.18050681815118,1,0.005,0.261365811008192,-0.0401294350631658,58.8,0.0749350648432029,0
740.2,0.63760803327307,0.738773683855086,-2,1.18001772129723,1,0.005,0.261226316144914,-0.0401574034554213,58.8,0.074935111122936,0
740.25,0.637289308944156,0.738912027221112,-2,1.17953110432812,1,0.005,0.261087972778888,-0.0401851414988422,58.8,0.0749351573697466,0
740.3,0.636970743937572,0.739049219022052,-2,1.17904696851578,1,0.005,0.260950780977948,-0.0402126491798971,58.8,0.0749352035836578,0
740.35,0.636652338173678,0.739185259195601,-2,1.17856531512445,1,0.005,0.260814740804399,-0.0402399264861596,58.8,0.074935249764693,0
740.4,0.636334091572871,0.739320147684975,-2,1.17808614541074,1,0.005,0.260679852315025,-0.0402669734063081,58.8,0.0749352959128755,0
740.45,0.636016004055591,0.739453884438908,-2,1.17760946062362,1,0.005,0.260546115561092,-0.0402937899301244,58.8,0.0749353420282285,0
740.5,0.635698075542315,0.739586469411651,-2,1.17713526200441,1,0.005,0.260413530588349,-0.0403203760484934,58.8,0.0749353881107754,0
740.55,0.635380305953561,0.739717902562964,-2,1.1766635507868,1,0.005,0.260282097437036,-0.0403467317534018,58.8,0.0749354341605394,0
