path,bytes,ext
outputs/wealth_goodwin/grid_search/stage3_stability/hopf_root_hist.png,23071,png
outputs/wealth_goodwin/grid_search/stage3_stability/hopf_roots.csv,489246,csv
outputs/wealth_goodwin/grid_search/stage3_stability/hopf_roots_scatter.png,35143,png
outputs/wealth_goodwin/grid_search/stage3_stability/hopf_surface.csv,1953,csv
outputs/wealth_goodwin/grid_search/stage3_stability/hopf_surface_cloud.png,61581,png
outputs/wealth_goodwin/grid_search/stage3_stability/hopf_surface_contours.png,67394,png
outputs/wealth_goodwin/grid_search/stage3_stability/hopf_surface_counts.png,29082,png
outputs/wealth_goodwin/grid_search/stage3_stability/hopf_surface_slice_kmax_0.45_sigma_2.5.png,76739,png
outputs/wealth_goodwin/grid_search/stage3_stability/hopf_surface_slice_kmax_045_sigma_25.png,76739,png
outputs/wealth_goodwin/grid_search/stage3_stability/hopf_surface_tiles.png,31123,png
outputs/wealth_goodwin/grid_search/stage3_stability/hopf_tiles.png,32838,png
outputs/wealth_goodwin/grid_search/stage3_stability/hopf_transversality_map.png,38119,png
outputs/wealth_goodwin/grid_search/stage3_stability/maxRe_tiles.png,38874,png
outputs/wealth_goodwin/grid_search/stage3_stability/stability_tiles.png,35766,png
outputs/wealth_goodwin/grid_search/stage3_stability/stage3_stability.csv,1181648,csv
outputs/wealth_goodwin/grid_search/stage3_stability/table_hopf_summary.csv,439,csv
outputs/wealth_goodwin/grid_search/stage3_stability/table_hopf_summary.tex,727,tex
outputs/wealth_goodwin/grid_search/stage3_stability/table_stage3_summary.csv,271,csv
outputs/wealth_goodwin/grid_search/stage3_stability/table_stage3_summary.tex,539,tex
outputs/wealth_goodwin/grid_search/stage4_scoring/gate_diagnostics.csv,72,csv
outputs/wealth_goodwin/grid_search/stage4_scoring/manifest_stage4.csv,1886,csv
outputs/wealth_goodwin/grid_search/stage4_scoring/omega_hist.png,27149,png
outputs/wealth_goodwin/grid_search/stage4_scoring/penalty_tradeoff_omega_sigma.png,29501,png
outputs/wealth_goodwin/grid_search/stage4_scoring/score_hist.png,21813,png
outputs/wealth_goodwin/grid_search/stage4_scoring/score_hopf_boundary_phi2.png,226836,png
outputs/wealth_goodwin/grid_search/stage4_scoring/score_scatter_omega_sigma.png,42423,png
outputs/wealth_goodwin/grid_search/stage4_scoring/shortlist_top20.tex,1565,tex
outputs/wealth_goodwin/grid_search/stage4_scoring/shortlist_top20_GATED.tex,372,tex
outputs/wealth_goodwin/grid_search/stage4_scoring/stage4_scored_candidates.csv,1613272,csv
outputs/wealth_goodwin/grid_search/stage4_scoring/stage4_scored_candidates_GATED.csv,320,csv
outputs/wealth_goodwin/grid_search/stage4_scoring/stage4_scored_candidates_GATED_RELAXED.csv,384386,csv
outputs/wealth_goodwin/grid_search/stage4_scoring/stage4_scored_candidates_GATED_STRICT.csv,248539,csv
outputs/wealth_goodwin/grid_search/stage4_scoring/stage4_shortlist_top20.csv,5011,csv
outputs/wealth_goodwin/grid_search/stage4_scoring/stage4_shortlist_top20_ALL.csv,6720,csv
outputs/wealth_goodwin/grid_search/stage4_scoring/stage4_shortlist_top20_GATED.csv,255,csv
outputs/wealth_goodwin/grid_search/stage4_scoring/stage4_shortlist_top50.csv,10259,csv
outputs/wealth_goodwin/grid_search/stage4_scoring/stage4_shortlist_top50_ALL.csv,16438,csv
outputs/wealth_goodwin/grid_search/stage4_scoring/stage4_shortlist_top50_GATED.csv,232,csv
outputs/wealth_goodwin/grid_search/stage4_scoring/stage4_shortlist_top50_GATED_RELAXED.csv,13009,csv
outputs/wealth_goodwin/grid_search/stage4_scoring/stage4_shortlist_top50_GATED_STRICT.csv,13009,csv
outputs/wealth_goodwin/grid_search/stage5/stage5A_hopf_cert/stage5A_hopf_certified.csv,11471,csv
outputs/wealth_goodwin/grid_search/stage5/stage5A_hopf_cert/stage5_candidate_pool.csv,10615,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/stage5B_cycle_metrics.csv,16093,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_10_above.csv,1163122,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_10_below.csv,1139065,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_11_above.csv,1187624,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_11_below.csv,1169502,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_12_above.csv,1187486,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_12_below.csv,1177950,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_13_above.csv,1090968,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_13_below.csv,1104189,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_14_above.csv,1199280,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_14_below.csv,1191184,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_15_above.csv,1069168,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_15_below.csv,1074168,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_16_above.csv,1192132,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_16_below.csv,1182229,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_17_above.csv,1165259,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_17_below.csv,1151973,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_18_above.csv,1188798,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_18_below.csv,1180363,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_19_above.csv,1186938,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_19_below.csv,1183075,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_1_above.csv,1185897,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_1_below.csv,1181068,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_20_above.csv,1197594,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_20_below.csv,1193372,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_21_above.csv,1198642,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_21_below.csv,1194765,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_22_above.csv,1127736,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_22_below.csv,1128578,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_23_above.csv,1156033,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_23_below.csv,1141204,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_24_above.csv,1165884,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_24_below.csv,1158086,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_25_above.csv,1114626,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_25_below.csv,1132744,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_26_above.csv,1185885,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_26_below.csv,1178300,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_27_above.csv,1081664,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_27_below.csv,1088629,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_28_above.csv,1185457,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_28_below.csv,1179403,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_29_above.csv,1163175,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_29_below.csv,1138962,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_2_above.csv,1187087,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_2_below.csv,1180081,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_30_above.csv,1186914,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_30_below.csv,1167924,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_31_above.csv,1187368,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_31_below.csv,1176680,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_32_above.csv,1196705,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_32_below.csv,1187658,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_33_above.csv,1198970,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_33_below.csv,1190841,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_34_above.csv,1198803,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_34_below.csv,1194549,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_35_above.csv,1190705,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_35_below.csv,1181700,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_36_above.csv,1164866,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_36_below.csv,1152515,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_37_above.csv,1187380,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_37_below.csv,1179744,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_38_above.csv,1197866,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_38_below.csv,1187424,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_39_above.csv,1196427,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_39_below.csv,1192972,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_3_above.csv,1193178,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_3_below.csv,1182841,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_40_above.csv,1197582,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_40_below.csv,1194398,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_4_above.csv,1165430,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_4_below.csv,1153459,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_5_above.csv,1189335,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_5_below.csv,1180674,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_6_above.csv,1131822,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_6_below.csv,1186093,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_7_above.csv,1091033,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_7_below.csv,1096196,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_8_above.csv,1199483,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_8_below.csv,1196975,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_9_above.csv,1186254,csv
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_9_below.csv,1179489,csv
outputs/wealth_goodwin/grid_search/stage5/stage5C_robust/robustness_summary.csv,422,csv
outputs/wealth_goodwin/grid_search/stage5_merged_handle.csv,26544,csv
outputs/wealth_goodwin/grid_search/stage5_summary_index.csv,337,csv
