sigma,psi,phi2,hopf_rF
2,0.35000000000000003,0.9,0.06382334401719976
2,0.35000000000000003,1,0.06429485283327942
2,0.35000000000000003,1.1,0.06468056551540252
2,0.35000000000000003,1.2000000000000002,NA
2,0.35000000000000003,1.3000000000000003,NA
2,0.35000000000000003,1.4000000000000001,NA
2,0.35000000000000003,1.5,NA
2,0.4,0.1,0.04698809128866472
2,0.4,0.2,0.05507088235674144
2,0.4,0.30000000000000004,0.060115034555264485
2,0.4,0.4,0.06263124851374009
2,0.4,0.5,0.06413899866223688
2,0.4,0.6,0.06536637675548007
2,0.4,0.7000000000000001,0.06719937648499351
2,0.4,0.8,0.06857372619804727
2,0.4,0.9,0.06964242529560219
2,0.4,1,0.07049723242462552
2,0.4,1.1,0.07119651883274938
2,0.4,1.2000000000000002,0.07177918753554803
2,0.4,1.3000000000000003,0.07227216499877268
2,0.4,1.4000000000000001,0.07269468056836448
2,0.4,1.5,0.0730608333577864
2,0.45,0.1,0.05134043863575548
2,0.45,0.2,0.060790531988867746
2,0.45,0.30000000000000004,0.06466001610736519
2,0.45,0.4,0.06822164007016705
2,0.45,0.5,0.0705655570214822
2,0.45,0.6,0.072127088712097
2,0.45,0.7000000000000001,0.07324192918386774
2,0.45,0.8,0.07407776048366334
2,0.45,0.9,0.07472767243871183
2,0.45,1,0.07566197424245091
2,0.45,1.1,0.07679939943630275
2,0.45,1.2000000000000002,0.07774715030484006
2,0.45,1.3000000000000003,0.07854901956239962
2,0.45,1.4000000000000001,0.07923628203616788
2,0.45,1.5,0.07983186904082133
2,0.5,0.1,0.05615135999369084
2,0.5,0.2,0.06636111075173723
2,0.5,0.30000000000000004,0.07171722193756887
2,0.5,0.4,0.07438858392977075
2,0.5,0.5,0.07703006368715487
2,0.5,0.6,0.07921849465234243
2,0.5,0.7000000000000001,0.08078097986271965
2,0.5,0.8,0.08195246680633728
2,0.5,0.9,0.08286339760326886
2,0.5,1,0.08359199889462338
2,0.5,1.1,0.08418803184103175
2,0.5,1.2000000000000002,0.08468466004373297
2,0.5,1.3000000000000003,0.08527466941037445
2,0.5,1.4000000000000001,0.08621817651152794
2,0.5,1.5,0.08703582933698407
2,0.55,0.1,0.062487502152109874
2,0.55,0.2,0.07368829701378399
2,0.55,0.30000000000000004,0.07958272498954287
2,0.55,0.4,0.08295682414543744
2,0.55,0.5,0.08497868282421263
2,0.55,0.6,0.0876142677659342
2,0.55,0.7000000000000001,0.08951083472394025
2,0.55,0.8,0.0909328184160911
2,0.55,0.9,0.09203854135552245
2,0.55,1,0.09292295180561118
2,0.55,1.1,0.09364644863261679
2,0.55,1.2000000000000002,0.09424928544248314
2,0.55,1.3000000000000003,0.09475932306293008
2,0.55,1.4000000000000001,0.09547461165239306
2,0.55,1.5,0.09638979134917952
2,0.6000000000000001,0.1,0.07031911367192278
2,0.6000000000000001,0.2,0.08293976495239233
2,0.6000000000000001,0.30000000000000004,0.08935566167074062
2,0.6000000000000001,0.4,0.09315741147355268
2,0.6000000000000001,0.5,0.09579043408870848
2,0.6000000000000001,0.6,0.09854471561556158
2,0.6000000000000001,0.7000000000000001,0.1005112131472275
2,0.6000000000000001,0.8,0.10198561691218265
2,0.6000000000000001,0.9,0.10313209434184527
2,0.6000000000000001,1,0.1040490977939504
2,0.6000000000000001,1.1,0.10479925457658908
2,0.6000000000000001,1.2000000000000002,0.10590182615723402
2,0.6000000000000001,1.3000000000000003,0.1070258324013261
2,0.6000000000000001,1.4000000000000001,0.1079891915438907
2,0.6000000000000001,1.5,0.10882404678685188
2,0.65,0.1,0.08026764171790235
2,0.65,0.2,0.09447013383280428
2,0.65,0.30000000000000004,0.10190221623831948
2,0.65,0.4,0.10618809906266771
2,0.65,0.5,0.1099107270856853
2,0.65,0.6,0.11239080264361534
2,0.65,0.7000000000000001,0.11416144771191897
2,0.65,0.8,0.11588914930765472
2,0.65,0.9,0.11776625495262126
2,0.65,1,0.11926767883814138
2,0.65,1.1,0.12049594313305224
2,0.65,1.2000000000000002,0.12151937685147272
2,0.65,1.3000000000000003,0.1223852737476784
2,0.65,1.4000000000000001,0.12312740849028352
2,0.65,1.5,0.12377054504665126
2,0.7000000000000001,0.1,0.09341807354690136
2,0.7000000000000001,0.2,0.11050451820776923
2,0.7000000000000001,0.30000000000000004,0.11875468322359138
2,0.7000000000000001,0.4,0.12383670904944744
2,0.7000000000000001,0.5,0.12790808940347265
2,0.7000000000000001,0.6,0.1310429722823139
2,0.7000000000000001,0.7000000000000001,0.13328115574195554
2,0.7000000000000001,0.8,0.134959228487695
2,0.7000000000000001,0.9,0.13712872808818158
2,0.7000000000000001,1,0.1388863343039064
2,0.7000000000000001,1.1,0.14032417343419162
2,0.7000000000000001,1.2000000000000002,0.1415222328826608
2,0.7000000000000001,1.3000000000000003,0.14253587577272556
2,0.7000000000000001,1.4000000000000001,0.1434046395113064
2,0.7000000000000001,1.5,0.14415751338708027
2,0.75,0.1,0.11211525682878988
2,0.75,0.2,0.13238596207962186
2,0.75,0.30000000000000004,0.1422971879835265
2,0.75,0.4,0.14873364662685445
2,0.75,0.5,0.1532368671499058
2,0.75,0.6,0.15683057505103948
2,0.75,0.7000000000000001,0.1600006172998961
2,0.75,0.8,0.16237740114008956
2,0.75,0.9,0.16422556300125174
2,0.75,1,0.16610876684133838
2,0.75,1.1,0.16801387791401112
2,0.75,1.2000000000000002,0.1696012900372577
2,0.75,1.3000000000000003,0.1709443562278504
2,0.75,1.4000000000000001,0.17209546158591799
2,0.75,1.5,0.17309301564504517
2,0.8,0.1,0.14009385922078535
2,0.8,0.2,0.1651679894802467
2,0.8,0.30000000000000004,0.17771582077767506
2,0.8,0.4,0.18546783845413115
2,0.8,0.5,0.19153490315694233
2,0.8,0.6,NA
2,0.8,0.7000000000000001,NA
2,0.8,0.8,NA
2,0.8,0.9,NA
2,0.8,1,NA
2,0.8,1.1,NA
2,0.8,1.2000000000000002,NA
2,0.8,1.3000000000000003,NA
2,0.8,1.4000000000000001,NA
2,0.8,1.5,NA
2,0.8500000000000001,0.1,0.18662375654047703
2,0.8500000000000001,0.2,NA
2,0.8500000000000001,0.30000000000000004,NA
2,0.8500000000000001,0.4,NA
2,0.8500000000000001,0.5,NA
2,0.8500000000000001,0.6,NA
2,0.8500000000000001,0.7000000000000001,NA
2,0.8500000000000001,0.8,NA
2,0.8500000000000001,0.9,NA
2,0.8500000000000001,1,NA
2,0.8500000000000001,1.1,NA
2,0.8500000000000001,1.2000000000000002,NA
2,0.8500000000000001,1.3000000000000003,NA
2,0.8500000000000001,1.4000000000000001,NA
2,0.8500000000000001,1.5,NA
2,0.9,0.1,NA
2,0.9,0.2,NA
2,0.9,0.30000000000000004,NA
2,0.9,0.4,NA
2,0.9,0.5,NA
2,0.9,0.6,NA
2,0.9,0.7000000000000001,NA
2,0.9,0.8,NA
2,0.9,0.9,NA
2,0.9,1,NA
2,0.9,1.1,NA
2,0.9,1.2000000000000002,NA
2,0.9,1.3000000000000003,NA
2,0.9,1.4000000000000001,NA
2,0.9,1.5,NA
2,0.9500000000000001,0.1,NA
2,0.9500000000000001,0.2,NA
2,0.9500000000000001,0.30000000000000004,NA
2,0.9500000000000001,0.4,NA
2,0.9500000000000001,0.5,NA
2,0.9500000000000001,0.6,NA
2,0.9500000000000001,0.7000000000000001,NA
2,0.9500000000000001,0.8,NA
2,0.9500000000000001,0.9,NA
2,0.9500000000000001,1,NA
2,0.9500000000000001,1.1,NA
2,0.9500000000000001,1.2000000000000002,NA
2,0.9500000000000001,1.3000000000000003,NA
2,0.9500000000000001,1.4000000000000001,NA
2,0.9500000000000001,1.5,NA
2,1,0.1,NA
2,1,0.2,NA
2,1,0.30000000000000004,NA
2,1,0.4,NA
2,1,0.5,NA
2,1,0.6,NA
2,1,0.7000000000000001,NA
2,1,0.8,NA
2,1,0.9,NA
2,1,1,NA
2,1,1.1,NA
2,1,1.2000000000000002,NA
2,1,1.3000000000000003,NA
2,1,1.4000000000000001,NA
2,1,1.5,NA
2.25,0,0.1,0.037617043393390594
2.25,0,0.2,0.04216964634644444
2.25,0,0.30000000000000004,0.04368246531001044
2.25,0,0.4,0.044437868146001785
2.25,0,0.5,0.044890769699158055
2.25,0,0.6,0.04618993064427346
2.25,0,0.7000000000000001,0.04752196315719852
2.25,0,0.8,0.048521011443731096
2.25,0,0.9,0.04929806331840459
2.25,0,1,0.04991971391482325
2.25,0,1.1,0.05042834318480714
2.25,0,1.2000000000000002,0.05085220509523884
2.25,0,1.3000000000000003,0.05121086046645281
2.25,0,1.4000000000000001,0.05151828154262769
2.25,0,1.5,0.05178471478
2.25,0.05,0.1,0.03991239934019041
2.25,0.05,0.2,0.04362389546943654
2.25,0.05,0.30000000000000004,0.04485533136458683
2.25,0.05,0.4,0.04720095635127559
2.25,0.05,0.5,0.04892787455064645
2.25,0.05,0.6,0.050079150344576
2.25,0.05,0.7000000000000001,0.05090148869456173
2.25,0.05,0.8,0.05151824162317031
2.25,0.05,0.9,0.05199793784589946
2.25,0.05,1,0.052381694506739795
2.25,0.05,1.1,0.05269567701802718
2.25,0.05,1.2000000000000002,0.05295732896476066
2.25,0.05,1.3000000000000003,0.053178726661698754
2.25,0.05,1.4000000000000001,0.053368496039942634
2.25,0.05,1.5,0.05353296277728173
2.25,0.1,0.1,0.04187599269062098
2.25,0.1,0.2,0.04498980224054089
2.25,0.1,0.30000000000000004,0.048739599031345435
2.25,0.1,0.4,0.0506275998877508
2.25,0.1,0.5,0.05176024945076854
2.25,0.1,0.6,0.052515284245534456
2.25,0.1,0.7000000000000001,0.053054562359932805
2.25,0.1,0.8,0.0534590029395544
2.25,0.1,0.9,0.05377355704915224
2.25,0.1,1,0.054025193485080544
2.25,0.1,1.1,0.054231073281500716
2.25,0.1,1.2000000000000002,0.054402636626310515
2.25,0.1,1.3000000000000003,0.05454780336200998
2.25,0.1,1.4000000000000001,0.0546722303459511
2.25,0.1,1.5,0.05478006583184005
2.25,0.15000000000000002,0.1,0.043689149904019675
2.25,0.15000000000000002,0.2,0.04904422277373299
2.25,0.15000000000000002,0.30000000000000004,0.05166831732109939
2.25,0.15000000000000002,0.4,0.052979570896321264
2.25,0.15000000000000002,0.5,0.05376605460849644
2.25,0.15000000000000002,0.6,0.054290261678656825
2.25,0.15000000000000002,0.7000000000000001,0.0546646376144176
2.25,0.15000000000000002,0.8,0.05494538756416613
2.25,0.15000000000000002,0.9,0.05592040585376828
2.25,0.15000000000000002,1,0.05690234229951522
2.25,0.15000000000000002,1.1,0.057705758762773535
2.25,0.15000000000000002,1.2000000000000002,0.05837528210242989
2.25,0.15000000000000002,1.3000000000000003,0.058941808713523045
2.25,0.15000000000000002,1.4000000000000001,0.05942740797749154
2.25,0.15000000000000002,1.5,0.059848264437994195
2.25,0.2,0.1,0.046184401503062106
2.25,0.2,0.2,0.051971658117760444
2.25,0.2,0.30000000000000004,0.0538954625338711
2.25,0.2,0.4,0.05485623677589539
2.25,0.2,0.5,0.05677612998310236
2.25,0.2,0.6,0.058353904746463084
2.25,0.2,0.7000000000000001,0.059480905926669145
2.25,0.2,0.8,0.06032616746927118
2.25,0.2,0.9,0.06098359949780084
2.25,0.2,1,0.06150954917657776
2.25,0.2,1.1,0.0619398743406403
2.25,0.2,1.2000000000000002,0.06229848051016537
2.25,0.2,1.3000000000000003,0.06260191783086602
2.25,0.2,1.4000000000000001,0.06286200793779326
2.25,0.2,1.5,0.06308742009411923
2.25,0.25,0.1,0.04990211999612638
2.25,0.25,0.2,0.05437105848321056
2.25,0.25,0.30000000000000004,0.057677620443295205
2.25,0.25,0.4,0.060001192071522574
2.25,0.25,0.5,0.06139519700997971
2.25,0.25,0.6,0.06232447427174815
2.25,0.25,0.7000000000000001,0.06298821406497136
2.25,0.25,0.8,0.06348600244237362
2.25,0.25,0.9,0.06387316131618923
2.25,0.25,1,0.0641828821488108
2.25,0.25,1.1,0.06443628593204925
2.25,0.25,1.2000000000000002,0.06464745286843726
2.25,0.25,1.3000000000000003,0.06482613052749142
2.25,0.25,1.4000000000000001,0.06497928130064455
2.25,0.25,1.5,0.06561833617274357
2.25,0.30000000000000004,0.1,0.052998078415436585
2.25,0.30000000000000004,0.2,0.05901949915713096
2.25,0.30000000000000004,0.30000000000000004,0.06200954323564551
2.25,0.30000000000000004,0.4,0.06350363527955621
2.25,0.30000000000000004,0.5,0.06439977598111551
2.25,0.30000000000000004,0.6,0.06499706789619084
2.25,0.30000000000000004,0.7000000000000001,0.0666391959038136
2.25,0.30000000000000004,0.8,0.06787713306313341
2.25,0.30000000000000004,0.9,0.06883999221425392
2.25,0.30000000000000004,1,0.06961029169394632
2.25,0.30000000000000004,1.1,0.07024054481566966
2.25,0.30000000000000004,1.2000000000000002,0.07076576134480173
2.25,0.30000000000000004,1.3000000000000003,0.07121017932143514
2.25,0.30000000000000004,1.4000000000000001,0.07159111193830893
2.25,0.30000000000000004,1.5,0.07192125572902225
2.25,0.35000000000000003,0.1,0.05684118550615533
2.25,0.35000000000000003,0.2,0.06311351414695665
2.25,0.35000000000000003,0.30000000000000004,0.06556784710363694
2.25,0.35000000000000003,0.4,0.06856070121326385
2.25,0.35000000000000003,0.5,0.07035632316681575
2.25,0.35000000000000003,0.6,0.07155336554166045
2.25,0.35000000000000003,0.7000000000000001,0.07240837634645382
2.25,0.35000000000000003,0.8,0.07304962365080181
2.25,0.35000000000000003,0.9,0.07354836508521193
2.25,0.35000000000000003,1,0.07394735412311071
2.25,0.35000000000000003,1.1,0.07427379696430553
2.25,0.35000000000000003,1.2000000000000002,0.07454583077454983
2.25,0.35000000000000003,1.3000000000000003,0.07477601188073667
2.25,0.35000000000000003,1.4000000000000001,0.0749733089840289
2.25,0.35000000000000003,1.5,0.07564493425138644
2.25,0.4,0.1,0.06180480506035029
2.25,0.4,0.2,0.06841221174155718
2.25,0.4,0.30000000000000004,0.07193180670071905
2.25,0.4,0.4,0.073690592314391
2.25,0.4,0.5,0.0747455214480128
2.25,0.4,0.6,0.07640136815619587
2.25,0.4,0.7000000000000001,0.07797008149520035
2.25,0.4,0.8,0.07914664000548517
2.25,0.4,0.9,0.08006175515033812
2.25,0.4,1,0.08079385621217891
2.25,0.4,1.1,0.08139285394444168
2.25,0.4,1.2000000000000002,0.08189202283740017
2.25,0.4,1.3000000000000003,0.0823143994520319
2.25,0.4,1.4000000000000001,0.08267643870060026
2.25,0.4,1.5,0.08299020766022146
2.25,0.45,0.1,0.06704677254453367
2.25,0.45,0.2,0.07401790580044862
2.25,0.45,0.30000000000000004,0.07811988987849001
2.25,0.45,0.4,0.08082714278625532
2.25,0.45,0.5,0.08245128294555112
2.25,0.45,0.6,0.0835339520622754
2.25,0.45,0.7000000000000001,0.08430724165582802
2.25,0.45,0.8,0.08488718361162262
2.25,0.45,0.9,0.08606993876160357
2.25,0.45,1,0.08721140350411648
2.25,0.45,1.1,0.08814534451251285
2.25,0.45,1.2000000000000002,0.08892363926954662
2.25,0.45,1.3000000000000003,0.08958220392077455
2.25,0.45,1.4000000000000001,0.09014669343656612
2.25,0.45,1.5,0.09063592182556184
2.25,0.5,0.1,0.07358766635663103
2.25,0.5,0.2,0.08181922987870655
2.25,0.5,0.30000000000000004,0.0849572468007456
2.25,0.5,0.4,0.08850449511039334
2.25,0.5,0.5,0.09066601272927413
2.25,0.5,0.6,0.0921069719016827
2.25,0.5,0.7000000000000001,0.0931362021678589
2.25,0.5,0.8,0.09390811028269641
2.25,0.5,0.9,0.09450847452433168
2.25,0.5,1,0.09498876036745266
2.25,0.5,1.1,0.09613970841102178
2.25,0.5,1.2000000000000002,0.09711744529280739
2.25,0.5,1.3000000000000003,0.09794477163439438
2.25,0.5,1.4000000000000001,0.09865391620246852
2.25,0.5,1.5,0.09926851393269018
2.25,0.55,0.1,0.08192521544436
2.25,0.55,0.2,0.09079754688404863
2.25,0.55,0.30000000000000004,0.09455786896240105
2.25,0.55,0.4,0.09807692407002483
2.25,0.55,0.5,0.1004910502461954
2.25,0.55,0.6,0.10210041559894106
2.25,0.55,0.7000000000000001,0.10324993623151248
2.25,0.55,0.8,0.10411206225291471
2.25,0.55,0.9,0.10478259605633991
2.25,0.55,1,0.10584582113378581
2.25,0.55,1.1,0.10700947804850426
2.25,0.55,1.2000000000000002,0.10797920603780552
2.25,0.55,1.3000000000000003,0.10879975501607003
2.25,0.55,1.4000000000000001,0.10950308997016668
2.25,0.55,1.5,0.11011265236792775
2.25,0.6000000000000001,0.1,0.09201873963796701
2.25,0.6000000000000001,0.2,0.10187863820282958
2.25,0.6000000000000001,0.30000000000000004,0.10656940015873469
2.25,0.6000000000000001,0.4,0.11034231515352647
2.25,0.6000000000000001,0.5,0.11260581982442736
2.25,0.6000000000000001,0.6,0.11411471786609999
2.25,0.6000000000000001,0.7000000000000001,0.11543386147126398
2.25,0.6000000000000001,0.8,0.11725609650015421
2.25,0.6000000000000001,0.9,0.11867341776758847
2.25,0.6000000000000001,1,0.11980729216115814
2.25,0.6000000000000001,1.1,0.12073501914193394
2.25,0.6000000000000001,1.2000000000000002,0.12150813295574708
2.25,0.6000000000000001,1.3000000000000003,0.12216231188670083
2.25,0.6000000000000001,1.4000000000000001,0.12272304086220358
2.25,0.6000000000000001,1.5,0.12320900910383166
2.25,0.65,0.1,0.10465709404083051
2.25,0.65,0.2,0.11585236185141831
2.25,0.65,0.30000000000000004,0.12198697244266246
2.25,0.65,0.4,0.12509907142542198
2.25,0.65,0.5,0.1285515028542264
2.25,0.65,0.6,0.13085310415622187
2.25,0.65,0.7000000000000001,0.1324970952610386
2.25,0.65,0.8,0.13373008313790996
2.25,0.65,0.9,0.1346890704430485
2.25,0.65,1,0.13597867056849702
2.25,0.65,1.1,0.1373250972408118
2.25,0.65,1.2000000000000002,0.13844713487143925
2.25,0.65,1.3000000000000003,0.139396562315591
2.25,0.65,1.4000000000000001,0.14021036531501233
2.25,0.65,1.5,0.14091566727633864
2.25,0.7000000000000001,0.1,0.12236723443790413
2.25,0.7000000000000001,0.2,0.13495475698248804
2.25,0.7000000000000001,0.30000000000000004,0.14210272486714298
2.25,0.7000000000000001,0.4,0.14617247096672542
2.25,0.7000000000000001,0.5,0.14983874387418492
2.25,0.7000000000000001,0.6,0.15228287036639554
2.25,0.7000000000000001,0.7000000000000001,0.15402864728140228
2.25,0.7000000000000001,0.8,0.15563438871221313
2.25,0.7000000000000001,0.9,0.15754595029823987
2.25,0.7000000000000001,1,0.15907522463589507
2.25,0.7000000000000001,1.1,0.16032646577978635
2.25,0.7000000000000001,1.2000000000000002,0.16136917826742658
2.25,0.7000000000000001,1.3000000000000003,0.16225148167673786
2.25,0.7000000000000001,1.4000000000000001,0.16300774776768878
2.25,0.7000000000000001,1.5,0.16366318289398213
2.25,0.75,0.1,0.1466120426730113
2.25,0.75,0.2,0.16231328643399703
2.25,0.75,0.30000000000000004,0.17039750101884804
2.25,0.75,0.4,0.17512663652189742
2.25,0.75,0.5,0.17953962216040986
2.25,0.75,0.6,0.1824815527773664
2.25,0.75,0.7000000000000001,0.18458290188584503
2.25,0.75,0.8,0.1869468552636544
2.25,0.75,0.9,0.1890060872472354
2.25,0.75,1,0.19065349611637417
2.25,0.75,1.1,0.1920013915968431
2.25,0.75,1.2000000000000002,0.19312464854289216
2.25,0.75,1.3000000000000003,0.1940751043690737
2.25,0.75,1.4000000000000001,0.1948897863878511
2.25,0.75,1.5,NA
2.25,0.8,0.1,0.18320174786646135
2.25,0.8,0.2,NA
2.25,0.8,0.30000000000000004,NA
2.25,0.8,0.4,NA
2.25,0.8,0.5,NA
2.25,0.8,0.6,NA
2.25,0.8,0.7000000000000001,NA
2.25,0.8,0.8,NA
2.25,0.8,0.9,NA
2.25,0.8,1,NA
2.25,0.8,1.1,NA
2.25,0.8,1.2000000000000002,NA
2.25,0.8,1.3000000000000003,NA
2.25,0.8,1.4000000000000001,NA
2.25,0.8,1.5,NA
2.25,0.8500000000000001,0.1,NA
2.25,0.8500000000000001,0.2,NA
2.25,0.8500000000000001,0.30000000000000004,NA
2.25,0.8500000000000001,0.4,NA
2.25,0.8500000000000001,0.5,NA
2.25,0.8500000000000001,0.6,NA
2.25,0.8500000000000001,0.7000000000000001,NA
2.25,0.8500000000000001,0.8,NA
2.25,0.8500000000000001,0.9,NA
2.25,0.8500000000000001,1,NA
2.25,0.8500000000000001,1.1,NA
2.25,0.8500000000000001,1.2000000000000002,NA
2.25,0.8500000000000001,1.3000000000000003,NA
2.25,0.8500000000000001,1.4000000000000001,NA
2.25,0.8500000000000001,1.5,NA
2.25,0.9,0.1,NA
2.25,0.9,0.2,NA
2.25,0.9,0.30000000000000004,NA
2.25,0.9,0.4,NA
2.25,0.9,0.5,NA
2.25,0.9,0.6,NA
2.25,0.9,0.7000000000000001,NA
2.25,0.9,0.8,NA
2.25,0.9,0.9,NA
2.25,0.9,1,NA
2.25,0.9,1.1,NA
2.25,0.9,1.2000000000000002,NA
2.25,0.9,1.3000000000000003,NA
2.25,0.9,1.4000000000000001,NA
2.25,0.9,1.5,NA
2.25,0.9500000000000001,0.1,NA
2.25,0.9500000000000001,0.2,NA
2.25,0.9500000000000001,0.30000000000000004,NA
2.25,0.9500000000000001,0.4,NA
2.25,0.9500000000000001,0.5,NA
2.25,0.9500000000000001,0.6,NA
2.25,0.9500000000000001,0.7000000000000001,NA
2.25,0.9500000000000001,0.8,NA
2.25,0.9500000000000001,0.9,NA
2.25,0.9500000000000001,1,NA
2.25,0.9500000000000001,1.1,NA
2.25,0.9500000000000001,1.2000000000000002,NA
2.25,0.9500000000000001,1.3000000000000003,NA
2.25,0.9500000000000001,1.4000000000000001,NA
2.25,0.9500000000000001,1.5,NA
2.25,1,0.1,NA
2.25,1,0.2,NA
2.25,1,0.30000000000000004,NA
2.25,1,0.4,NA
2.25,1,0.5,NA
2.25,1,0.6,NA
2.25,1,0.7000000000000001,NA
2.25,1,0.8,NA
2.25,1,0.9,NA
2.25,1,1,NA
2.25,1,1.1,NA
2.25,1,1.2000000000000002,NA
2.25,1,1.3000000000000003,NA
2.25,1,1.4000000000000001,NA
2.25,1,1.5,NA
2.5,0,0.1,0.04835695693607915
2.5,0,0.2,0.05205400998746923
2.5,0,0.30000000000000004,0.053288467162499895
2.5,0,0.4,0.05390614806974136
2.5,0,0.5,0.05427690985641128
2.5,0,0.6,0.054524150328651336
2.5,0,0.7000000000000001,0.054700783652045865
2.5,0,0.8,0.05483327695264006
2.5,0,0.9,0.054936338266835236
2.5,0,1,0.05525100399399247
2.5,0,1.1,0.056152125174309946
2.5,0,1.2000000000000002,0.056903167988369176
2.5,0,1.3000000000000003,0.057538743159455605
2.5,0,1.4000000000000001,0.05808357857855665
2.5,0,1.5,0.05855581175743399
2.5,0.05,0.1,0.051292746314537715
2.5,0.05,0.2,0.05372918226576821
2.5,0.05,0.30000000000000004,0.05454096972384183
2.5,0.05,0.4,0.054946786790854116
2.5,0.05,0.5,0.056687718546296485
2.5,0.05,0.6,0.05812837627789659
2.5,0.05,0.7000000000000001,0.059157889764055824
2.5,0.05,0.8,0.05993028708314207
2.5,0.05,0.9,0.060531197696243044
