"time","e","omega","d","r","kappa","g","g_n","theta","lambda_tilt","denom","f","Ztilde","y_pc","y_pc_0","y_pc_norm"
135.4,1.07090865560061,0.843930362319799,1.018278761479,0.0384461624070137,0.147669431172556,0.0292231437241853,0.03,0.506214850206517,0.58490460600047,-0.00498216406959262,2.2287329659158,0.999996160318408,14.9992469873684,0.904422758117071,16.5843316665268
135.45,1.07086979133247,0.843930365549416,1.01840743558093,0.0384444456757821,0.14766685669803,0.0292222855660099,0.03,0.506221715471921,0.584911163512536,-0.00498130591141721,2.22901138501633,0.999996175917658,15.0142537364798,0.904422758117071,16.6009242931239
135.5,1.07083088415906,0.843930368765895,1.01853609415974,0.0384427291559051,0.147664282541833,0.0292214275139445,0.03,0.506228579888444,0.584917720169491,-0.00498044785935178,2.22928986523835,0.99999619145527,15.0292754998461,0.904422758117071,16.6175335206467
135.55,1.0707919340857,0.843930371969287,1.01866473722794,0.0384410128471983,0.147661708703692,0.0292205695678972,0.03,0.506235443456822,0.584924275972055,-0.00497958991330449,2.22956840662571,0.999996206931484,15.0443122924892,0.904422758117071,16.6341593657043
135.6,1.07075294111769,0.843930375159645,1.01879336479807,0.0384392967494776,0.147659135183329,0.0292197117277763,0.03,0.50624230617779,0.584930830920944,-0.0049787320731836,2.22984700922222,0.999996222346536,15.0593641294459,0.904422758117071,16.6508018449228
135.65,1.07071390526032,0.843930378337018,1.01892197688264,0.0384375808625587,0.14765656198047,0.0292188539934901,0.03,0.506249168052079,0.584937385016878,-0.0049778743388974,2.23012567307176,0.999996237700664,15.0744310257679,0.904422758117071,16.6674609749445
135.7,1.07067482651888,0.84393038150146,1.01905057349419,0.0384358651862576,0.147653989094841,0.0292179963649469,0.03,0.506256029080425,0.584943938260572,-0.00497701671035421,2.23040439821822,0.999996252994102,15.0895129965222,0.904422758117071,16.6841367724285
135.75,1.07063570489866,0.84393038465302,1.01917915464522,0.0384341497203905,0.147651416526165,0.0292171388420552,0.03,0.506262889263559,0.584950490652744,-0.00497615918746246,2.2306831847055,0.999996268227086,15.1046100567908,0.904422758117071,16.7008292540507
135.8,1.07059654040493,0.84393038779175,1.01930772034824,0.0384324344647734,0.14764884427417,0.0292162814247233,0.03,0.506269748602214,0.58495704219411,-0.00497530177013058,2.23096203257757,0.99999628339985,15.1197222216707,0.904422758117071,16.7175384365035
135.85,1.07055733304296,0.843930390917701,1.01943627061576,0.0384307194192228,0.147646272338579,0.0292154241128598,0.03,0.506276607097122,0.584963592885385,-0.00497444445826711,2.23124094187838,0.999996298512627,15.134849506274,0.904422758117071,16.7342643364962
135.9,1.07051808281805,0.843930394030923,1.01956480546029,0.0384290045835551,0.14764370071912,0.0292145669063733,0.03,0.506283464749014,0.584970142727285,-0.00497358725178062,2.2315199126519,0.999996313565649,15.1499919257282,0.904422758117071,16.7510069707546
135.95,1.07047878973543,0.843930397131466,1.01969332489432,0.0384272899575869,0.147641129415517,0.0292137098051725,0.03,0.50629032155862,0.584976691720525,-0.00497273015057975,2.23179894494217,0.999996328559147,15.1651494951755,0.904422758117071,16.7677663560214
136,1.07043945380039,0.843930400219381,1.01982182893036,0.0384255755411348,0.147638558427498,0.0292128528091659,0.03,0.506297177526673,0.584983239865819,-0.00497187315457322,2.23207803879319,0.999996343493351,15.1803222297736,0.904422758117071,16.7845425090559
136.05,1.07040007501818,0.843930403294718,1.01995031758088,0.0384238613340156,0.147635987754787,0.0292119959182624,0.03,0.5063040326539,0.584989787163881,-0.00497101626366974,2.23235719424904,0.999996358368491,15.1955101446952,0.904422758117071,16.8013354466344
136.1,1.07036065339405,0.843930406357526,1.02007879085839,0.0384221473360463,0.147633417397113,0.0292111391323708,0.03,0.506310886941033,0.584996333615425,-0.00497015947777814,2.2326364113538,0.999996373184796,15.2107132551281,0.904422758117071,16.8181451855496
