"time","e","omega","d","u","r","kappa","gK","gY","Delta","u_d","gU","rho","chiA","chiN","xi"
298.4,0.866113882008405,0.884234851649728,0.945749781323426,0.900740761968887,0.0259783856991116,0.107065648433063,0.0156885494776878,0.0156885494776878,0.642494606976088,0.893392712977842,-0.0163155689212575,3.33059202676966,4.27634180809308,-0.945749781323426,4.52164186822124
298.45,0.865492112028781,0.884525827504612,0.946466876254413,0.900009368474168,0.0258718324817373,0.106757701752944,0.0155859005843146,0.0155859005843146,0.642971869499677,0.892729569097095,-0.0161771635542321,3.33329863564204,4.27976551189645,-0.946466876254413,4.52183337765963
298.5,0.864866369473577,0.88481413954686,0.947188839536915,0.899284806311867,0.0257661022905546,0.106452526119649,0.0154841753732162,0.0154841753732162,0.643444822991256,0.892073382969467,-0.0160381300602094,3.33598430546553,4.28317314500245,-0.947188839536915,4.52198438813585
298.55,0.864236703617915,0.885099767637887,0.947915645813999,0.898567087825535,0.0256612021765178,0.106150134943895,0.0153833783146315,0.0153833783146315,0.643913442243941,0.891424160986136,-0.015898483120908,3.33864887847136,4.28656452428536,-0.947915645813999,4.52209491763835
298.6,0.863603163864117,0.885382691859287,0.948647269121554,0.897856224768888,0.0255571391252835,0.10585054129843,0.0152835137661434,0.0152835137661434,0.644377702516394,0.890781909054956,-0.0157582372740208,3.34129219939664,4.28993946851819,-0.948647269121554,4.52216499025045
298.65,0.862965799734222,0.885662892514284,0.949383682884636,0.89715222831637,0.0254539200567767,0.105553757921663,0.0151845859738878,0.0151845859738878,0.644837579530069,0.890146632611436,-0.0156174069100416,3.34391411547839,4.29329779836303,-0.949383682884636,4.52219463612239
298.7,0.862324660862512,0.885940350129155,0.950124859913968,0.896455109073843,0.025351551824762,0.10525979722136,0.0150865990737868,0.0150865990737868,0.645293049466368,0.889518336629653,-0.0154760062695311,3.34651447644645,4.29663933636042,-0.950124859913968,4.52218389144083
298.75,0.861679796988541,0.886215045454544,0.950870772402813,0.895764877088708,0.025250041216448,0.10496867127849,0.01498955709283,0.01498955709283,0.645744088963588,0.888897025633271,-0.0153340494388611,3.34909313451783,4.29996390692064,-0.950870772402813,4.52213279839783
298.8,0.86103125794955,0.886486959466866,0.951621391923736,0.895081541861109,0.0251493949520615,0.104680391851034,0.0148934639503448,0.0148934639503448,0.646190675113959,0.888282703706259,-0.0151915503490641,3.35164994438631,4.30327133631005,-0.951621391923736,4.52204140515466
298.85,0.860379093672136,0.886756073369841,0.9523766894252,0.89440511235646,0.0250496196843835,0.104394970377732,0.014798323459244,0.014798323459244,0.646632785460814,0.887675374503238,-0.0150485227784329,3.35418476320646,4.30656145263166,-0.9523766894252,4.52190976579956
