time,e,omega,d,r,kappa,g,f,Z,scenario_id,rF_eff,psi,rF,phi2,phi1,e_star,omega_star,d_star,bad
74.8,0.9230617501718941,0.8663591618965355,2.4407096155780335,0.030209774818061752,0.11601991819544501,0.0080099590977225,1.3751697349483185,0.9998860226412197,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
74.9,0.9210705662980273,0.8651502897471238,2.4442416944795107,0.030761229709245427,0.11763593613079504,0.008817968065397516,1.3697230297698708,0.999884926407727,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
75,0.9191627578039311,0.8638142013190128,2.447615563979368,0.0313786658808031,0.11946087822781663,0.009730439113908314,1.363130938577363,0.9998830599864839,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
75.10000000000001,0.9173473192075507,0.8623573441506679,2.450813243446349,0.03205912927297082,0.12149076753518667,0.010745383767593333,1.355295395912475,0.999880316869531,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
75.2,0.9156329909720256,0.860786770007781,2.4538174420068106,0.032799353366007325,0.12372060686031625,0.01186030343015812,1.3461346783712211,0.9998765758836958,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
75.3,0.9140282211819011,0.8591101037407359,2.4566116648068275,0.033595773157529624,0.12614423810609054,0.01307211905304527,1.335588411212108,0.9998716986404417,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
75.4,0.9125411219090934,0.8573355092531953,2.459180320938597,0.034444540559323375,0.12875420867961807,0.01437710433980903,1.3236214550292225,0.9998655264943561,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
75.5,0.9111794206059803,0.8554716525320781,2.461508832137117,0.03534154125190418,0.13154165204607846,0.015770826023039225,1.310226530501619,0.9998578771802121,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
75.60000000000001,0.909950407142904,0.853527661722394,2.463583741094278,0.03628241302238882,0.1344961897688405,0.01724809488442025,1.2954255245565565,0.9998485413334651,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
75.7,0.908860877388714,0.8515130842758133,2.4653928179801654,0.03726256559239088,0.13760586228044755,0.018802931140223772,1.2792695025971665,0.9998372791394244,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
75.8,0.9079170745009413,0.8494378412576489,2.4669251635226948,0.03827720191833514,0.1408570950906546,0.020428547545327302,1.2618375232480148,0.9998238174054991,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
75.9,0.907124629329746,0.8473121789602882,2.468171306795888,0.03932134091791757,0.14423470610787995,0.02211735305393997,1.2432344102396036,0.9998078474088934,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
76,0.9064885015287325,0.8451466180381643,2.469123295723962,0.04038984154505844,0.14772195822070594,0.023860979110352967,1.2235876780251387,0.9997890239350268,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
76.10000000000001,0.9060129230886216,0.8429519004457517,2.4697747782415,0.041477428103501635,0.15130065929887238,0.025650329649436185,1.203043832528875,0.9997669659819932,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
76.2,0.9057013460516938,0.8407389345212346,2.4701210720743227,0.04257871665826786,0.15495130942691676,0.027475654713458378,1.1817642765530305,0.999741259652121,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
76.3,0.905556396115602,0.838518738610095,2.4701592212309094,0.043688242376488884,0.15865329262975683,0.029326646314878413,1.1599210425204927,0.9997114637692242,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
76.4,0.9055798336906361,0.8363023836614624,2.469888037522465,0.04480048760643184,0.1623851077813233,0.031192553890661653,1.1376925559973747,0.9996771187343735,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
76.5,0.9057725237384013,0.8341009352532872,2.4693081257549325,0.045909910487032406,0.16612463102084032,0.03306231551042016,1.1152596049543668,0.9996377590501083,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
76.60000000000001,0.9061344154036202,0.8319253955094924,2.468421891643577,0.047010973870600145,0.1698494000500176,0.034924700025008804,1.0928016553137883,0.9995929297926919,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
76.7,0.9066645320731503,0.8297866453640869,2.4672335319680525,0.04809817433843578,0.1735369093323121,0.03676845466615605,1.0704936162018215,0.999542207090412,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
76.80000000000001,0.9073609720819138,0.8276953876061016,2.465749006984839,0.049166071092176605,0.17716490459271803,0.03858245229635901,1.0485031213365963,0.9994852223776279,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
76.9,0.9082209198622437,0.8256620911087655,2.463975995613703,0.05020931451141169,0.18071166518148768,0.04035583259074384,1.0269883584631367,0.9994216898536469,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
77,0.9092406669299573,0.8236969366107108,2.461923834384256,0.05122267417888079,0.18415626379690336,0.04207813189845168,1.0060964484099986,0.9993514362064891,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
77.10000000000001,0.9104156417438116,0.8218097643805428,2.45960344154009,0.052201066186627273,0.18747879466396175,0.04373939733198087,0.9859623502727783,0.9992744312958733,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
77.2,0.9117404471869146,0.8200100240624678,2.457027228029287,0.053139579548326786,0.1906605633798177,0.04533028168990885,0.9667082499170933,0.9991908181634732,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
77.30000000000001,0.913208904214617,0.8183067269725741,2.454208997347056,0.054033501553507106,0.1936842340657443,0.04684211703287215,0.9484433754245145,0.9991009404880722,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
77.4,0.9148141001014596,0.8167084010941037,2.451163836332858,0.054878341907955284,0.1965339319984131,0.048266965999206546,0.9312641748706293,0.9990053654607718,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
77.5,0.9165484397004657,0.8152230490054965,2.4479079990628585,0.05566985551130889,0.1991953023310007,0.04959765116550034,0.915254788243134,0.9989049000447489,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
77.60000000000001,0.9184036981952353,0.8138581089657329,2.4444587859281413,0.056404063728211454,0.2016555276892859,0.05082776384464295,0.9004877455413829,0.998800598718149,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
77.7,0.9203710739674279,0.8126204193750245,2.440834419864253,0.05707727401452396,0.20390330921744845,0.051951654608724224,0.8870248262523235,0.9986937610784253,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
77.80000000000001,0.922441240404181,0.8115161868221066,2.437053921515945,0.05768609776620754,0.20592881698176585,0.05296440849088292,0.8749180206021537,0.998585918101207,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
77.9,0.9246043957148752,0.8105509579188556,2.433136984901155,0.05822746626705489,0.20772361649675958,0.053861808248379786,0.8642105394508695,0.998478806376345,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
78,0.9268503100974526,0.8097295951053728,2.4291038548980324,0.05869864462384312,0.20928057853906792,0.05464028926953396,0.8549378267577276,0.9983743302607078,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
