r0,lambda,ok,reason,a1,a2,a3,H,feasible_RH,hopf_band
0.01,28.992805755395683,TRUE,NA,-0.01966426858513189,0.01565611510791367,4.6968345323741004e-4,-7.775495057191655e-4,FALSE,FALSE
0.01,30.035971223021583,TRUE,NA,-0.020011990407673857,0.016219424460431654,4.8658273381294953e-4,-8.111657005330985e-4,FALSE,FALSE
0.01,31.07913669064748,TRUE,NA,-0.02035971223021582,0.016782733812949636,5.034820143884896e-4,-8.451736452564568e-4,FALSE,FALSE
0.01,32.122302158273385,TRUE,NA,-0.020707434052757788,0.017346043165467624,5.203812949640287e-4,-8.795733398892394e-4,FALSE,FALSE
0.01,33.16546762589928,TRUE,NA,-0.021055155875299755,0.01790935251798561,5.372805755395686e-4,-9.143647844314477e-4,FALSE,FALSE
0.01,34.20863309352518,TRUE,NA,-0.021402877697841716,0.018472661870503594,5.541798561151075e-4,-9.495479788830799e-4,FALSE,FALSE
0.01,35.25179856115108,TRUE,NA,-0.021750599520383683,0.01903597122302158,5.710791366906475e-4,-9.851229232441382e-4,FALSE,FALSE
0.01,36.294964028776974,TRUE,NA,-0.02209832134292565,0.01959928057553956,5.87978417266187e-4,-0.001021089617514621,FALSE,FALSE
0.01,37.33812949640288,TRUE,NA,-0.022446043165467625,0.020162589928057553,6.048776978417267e-4,-0.0010574480616945292,FALSE,FALSE
0.01,38.381294964028775,TRUE,NA,-0.022793764988009585,0.020725899280575538,6.217769784172664e-4,-0.0010941982557838622,FALSE,FALSE
0.01,39.42446043165467,TRUE,NA,-0.02314148681055156,0.021289208633093522,6.386762589928056e-4,-0.00113134019978262,FALSE,FALSE
0.01,40.46762589928058,TRUE,NA,-0.023489208633093533,0.02185251798561151,6.555755395683456e-4,-0.0011688738936908032,FALSE,FALSE
0.01,41.510791366906474,TRUE,NA,-0.0238369304556355,0.022415827338129496,6.724748201438846e-4,-0.0012067993375084105,FALSE,FALSE
0.01,42.55395683453237,TRUE,NA,-0.02418465227817746,0.02297913669064748,6.893741007194241e-4,-0.001245116531235443,FALSE,FALSE
