sigma,psi,rF,rF_tilde,rF_eff,phi2,phi1,feasible,reason,r_star,d_star,omega_star,e_star,f_star,Z_star,maxReEig,maxImEig,a1,a2,a3,H
2,0,0.041999999999999996,-0,0.041999999999999996,0.9,0.9785684702014233,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.351791512279959,0.9998381799881532,0.0040511375192087695,0.8060251388431855,0.02180503899949532,0.6494506188783801,0.019430570670021838,-0.0052692745971323895
2,0,0.045,-0,0.045,0.5,0.5531551260421688,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.524140674087378,0.9999316369592772,0.01576660289442293,0.6060113608579025,-0.0016459611177084346,0.3665559146190009,0.010983513259766951,-0.011586850042695879
2,0,0.045,-0,0.045,0.55,0.6063429790719176,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.524140674087378,0.9999316369592772,0.01535772467802557,0.6344175825681795,-8.198101449453706e-4,0.40180327078678335,0.012039617526920116,-0.012369019924583353
2,0,0.045,-0,0.045,0.6,0.6595308321016663,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,1.524140674087378,0.9999316369592772,0.014948174514933132,0.6616049881055571,6.3408278176933786e-6,0.43705062695456576,0.013095721794073284,-0.01309295053130015
2,0,0.045,-0,0.045,0.65,0.7127186851314151,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.524140674087378,0.9999316369592772,0.014538101807942364,0.6877181530510768,8.324918005807574e-4,0.4722979831223482,0.014151826061226449,-0.013758641862846265
2,0,0.045,-0,0.045,0.7,0.7659065381611639,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.524140674087378,0.9999316369592772,0.014127614723828147,0.7128751455308419,0.0016586427733438196,0.5075453392901307,0.015207930328379618,-0.014366093919221706
2,0,0.045,-0,0.045,0.75,0.8190943911909127,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.524140674087378,0.9999316369592772,0.013716793501922758,0.7371738692705113,0.0024847937461068854,0.542792695457913,0.016264034595532786,-0.014915306700426465
2,0,0.045,-0,0.045,0.8,0.8722822442206616,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.524140674087378,0.9999316369592772,0.013305698920893894,0.7606965790406596,0.0033109447188699494,0.5780400516256956,0.017320138862685956,-0.015406280206460546
2,0,0.045,-0,0.045,0.8500000000000001,0.9254700972504104,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.524140674087378,0.9999316369592772,0.012894377861332545,0.7835131736511929,0.004137095691633013,0.6132874077934781,0.01837624312983912,-0.015839014437323943
2,0,0.045,-0,0.045,0.9,0.9786579502801591,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.524140674087378,0.9999316369592772,0.012482867063507125,0.8056836481946658,0.004963246664396076,0.6485347639612604,0.019432347396992285,-0.016213509393016662
2,0,0.048,-0,0.048,0.5,0.5531777263130718,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,1.7184638113975859,0.999974125468575,0.01816727609617714,0.6058586313474281,-0.006437656337179213,0.36630844077609415,0.010983962013404857,-0.013342129868529316
2,0,0.048,-0,0.048,0.55,0.606367839369911,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,1.7184638113975859,0.999974125468575,0.01799800287708321,0.6342583022034637,-0.006090674886363227,0.401531049559586,0.012040111155921825,-0.014485706235569464
2,0,0.048,-0,0.048,0.6,0.65955795242675,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,1.7184638113975859,0.999974125468575,0.017828054470868798,0.6614396262417759,-0.005743693435547242,0.4367536583430777,0.013096260298438774,-0.015604839418815152
2,0,0.048,-0,0.048,0.65,0.7127480654835892,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,1.7184638113975859,0.999974125468575,0.01765758100098075,0.6875471270167376,-0.005396711984731255,0.4719762671265695,0.01415240944095573,-0.01669952941826641
2,0,0.048,-0,0.048,0.7,0.7659381785404281,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,1.7184638113975859,0.999974125468575,0.017486691155896864,0.7126988304019253,-0.00504973053391527,0.5071988759100612,0.015208558583472684,-0.017769776233923222
