sigma,psi,rF,rF_tilde,rF_eff,phi2,phi1,feasible,reason,r_star,d_star,omega_star,e_star,f_star,Z_star,maxReEig,maxImEig,a1,a2,a3,H,stable,oscillatory,rh_ok,period,econ_ok,regime,score
2,0.26,0.048,-0.012480000000000002,0.035519999999999996,0.8500000000000001,0.9248475251273776,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0431351636359165,0.9992431454349822,-0.02976665396371673,0.7846230136694171,0.10173030452159545,0.6190700824142047,0.0183638812645204,0.04461430673968583,TRUE,TRUE,TRUE,8.007903410575798,TRUE,stable_oscillatory,0
2,0.26,0.048,-0.012480000000000002,0.035519999999999996,0.8,0.8716962939872189,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0431351636359165,0.9992431454349822,-0.029763424628339676,0.7618836879390998,0.09516337655883461,0.5834825689157912,0.01730850416591539,0.03821766725533421,TRUE,TRUE,TRUE,8.246908821706949,TRUE,stable_oscillatory,0
2,0.38,0.056999999999999995,-0.02166,0.035339999999999996,0.9,0.9779711494178,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0356515637464636,0.9992143116141465,-0.02976286727367025,0.8066943895815397,0.11202401405445603,0.6548958898431718,0.01941871019826918,0.05394535616972779,TRUE,TRUE,TRUE,7.788805015042799,TRUE,stable_oscillatory,0
2,0.02,0.036,-7.199999999999999e-4,0.03528,0.9,0.9779617610206235,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0331689802852657,0.9992045059548734,-0.029760600311590925,0.8066888661320669,0.11328474482830225,0.654976726102082,0.01941852378115032,0.054780347503800855,TRUE,TRUE,TRUE,7.788858345481287,TRUE,stable_oscillatory,0
2,0.16,0.041999999999999996,-0.006719999999999999,0.03528,0.9,0.9779617610206235,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0331689802852657,0.9992045059548734,-0.029760600311590925,0.8066888661320669,0.11328474482830225,0.654976726102082,0.01941852378115032,0.054780347503800855,TRUE,TRUE,TRUE,7.788858345481287,TRUE,stable_oscillatory,0
2,0.38,0.056999999999999995,-0.02166,0.035339999999999996,0.8500000000000001,0.9248214519915157,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0356515637464636,0.9992143116141465,-0.029759997697796546,0.7846170196381979,0.10525004267113408,0.619295137793061,0.018363363553267294,0.04681747612547824,TRUE,TRUE,TRUE,8.00796458643847,TRUE,stable_oscillatory,0
2,0.02,0.036,-7.199999999999999e-4,0.03528,0.8500000000000001,0.9248125851719602,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0331689802852657,0.9992045059548734,-0.02975773430636934,0.784614236606789,0.1064407328464333,0.6193714831486986,0.018363187492655055,0.04756316707787474,TRUE,TRUE,TRUE,8.007992990736946,TRUE,stable_oscillatory,0
2,0.16,0.041999999999999996,-0.006719999999999999,0.03528,0.8500000000000001,0.9248125851719602,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0331689802852657,0.9992045059548734,-0.02975773430636934,0.784614236606789,0.1064407328464333,0.6193714831486986,0.018363187492655055,0.04756316707787474,TRUE,TRUE,TRUE,8.007992990736946,TRUE,stable_oscillatory,0
2,0.38,0.056999999999999995,-0.02166,0.035339999999999996,0.8,0.8716717545652313,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0356515637464636,0.9992143116141465,-0.029756780133388908,0.7618851197266913,0.09847607128781213,0.5836943857429502,0.017308016908265413,0.04017191303245306,TRUE,TRUE,TRUE,8.246893323541395,TRUE,stable_oscillatory,0
2,0.02,0.036,-7.199999999999999e-4,0.03528,0.8,0.8716634093232967,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0331689802852657,0.9992045059548734,-0.029754520745285184,0.761884922920512,0.09959672086456434,0.5837662401953149,0.017307851204159765,0.040833352070729224,TRUE,TRUE,TRUE,8.246895453836295,TRUE,stable_oscillatory,0
